Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ME,IA,ROE,EG
1971-08,3.79,-0.16,2.63,-0.43,2.64,0.47,3.61,-2.1376,1.6632,-3.3217,-0.0862
1971-09,-0.85,0.28,-2.91,2.56,-1.58,0.37,2.12,0.3025,0.068,2.7583,1.2805
1971-10,-4.42,-1.6,-0.48,1.62,-1.35,0.37,0.47,-1.1067,-0.6717,1.9473,2.207
1971-11,-0.46,-2.86,-1.68,2.44,-0.34,0.37,1.51,-2.8745,-0.2867,1.4712,1.5536
1971-12,8.71,3.27,-0.4,-0.4,-1.75,0.37,-0.58,2.9225,-2.01,-1.175,-1.4645
1972-01,2.49,6.1,2.24,-1.69,0.55,0.29,0.17,6.5296,-0.0273,-6.8199,1.8662
1972-02,2.87,0.87,-2.79,1.61,-0.52,0.25,2.54,0.521,1.9924,1.0235,-0.435
1972-03,0.63,-0.43,-1.61,1.63,-0.18,0.27,2.94,-1.0859,1.7616,2.1599,1.6356
1972-04,0.29,0.23,0.12,-0.42,-1.03,0.29,2.81,0.296,0.27,0.7183,0.2067
1972-05,1.25,-3.1,-2.7,2.34,-1.95,0.3,3.29,-2.7554,-1.7459,1.8952,1.2866
1972-06,-2.43,-0.43,-2.48,1.88,-0.36,0.29,1.9,0.4535,-0.1612,3.4718,1.6544
1972-07,-0.8,-2.77,0.66,1.14,-0.66,0.31,2.75,-2.0219,-0.3931,2.1954,3.3015
1972-08,3.26,-3.48,4.54,-1.96,2.85,0.29,-5.4,-3.623,3.6277,-1.443,0.8169
1972-09,-1.14,-2.23,0.46,1.68,-1.97,0.34,1.82,-1.0852,-1.0033,2.1667,0.4424
1972-10,0.52,-2.54,1.34,-0.15,0.02,0.4,0.71,-3.1796,-0.418,-0.5148,0.5797
1972-11,4.6,-0.62,4.85,-1.95,3.37,0.37,-5.09,-1.0175,2.4945,-4.1021,0.6461
1972-12,0.62,-1.89,-2.19,2.6,-2.16,0.37,4.92,-1.8973,-1.3273,3.0319,1.7622
1973-01,-3.29,-2.81,2.68,0.42,0.9,0.44,3.73,-2.656,0.3368,-0.571,3.444
1973-02,-4.85,-3.91,1.6,-0.26,0.02,0.41,2.16,-4.5526,0.1236,-1.0831,1.6486
1973-03,-1.3,-2.33,2.62,-1.07,0.62,0.46,3.59,-1.8269,0.6328,-1.8388,3.2647
1973-04,-5.68,-2.9,5.41,-1.58,2.6,0.52,6.36,-2.935,3.0786,-0.6049,4.1684
1973-05,-2.94,-6.17,0.41,1.95,-1.57,0.51,7.14,-5.7165,-0.5129,1.4353,1.5193
1973-06,-1.57,-2.48,1.2,-0.21,0.11,0.51,4.3,-1.3459,0.4562,-0.0012,2.9751
1973-07,5.05,7.26,-5.31,-0.05,-3.28,0.64,-11.57,8.0705,-5.6569,1.3051,-4.1545
1973-08,-3.82,-1.84,1.24,-1.31,1.3,0.7,3.46,-1.8721,1.7695,1.6194,1.4998
1973-09,4.75,3.6,2.01,-2.33,1.77,0.68,-7.0,5.4395,2.0999,-1.6754,-1.5858
1973-10,-0.83,-0.38,1.94,-1.9,2.71,0.65,6.87,-0.957,2.8796,0.8763,4.0331
1973-11,-12.75,-7.28,3.87,-2.63,1.73,0.56,8.66,-7.2199,2.3008,-0.7897,2.2419
1973-12,0.61,-4.69,3.85,-2.78,2.48,0.64,10.38,-4.8503,2.2193,3.3276,4.4647
1974-01,-0.17,10.41,6.02,-3.07,4.42,0.63,-8.85,11.8375,2.3603,-4.4602,-0.4965
1974-02,-0.47,0.06,2.81,-1.87,2.63,0.58,0.32,-0.5471,2.0538,-1.2343,1.4282
1974-03,-2.81,2.65,-0.32,2.8,0.44,0.56,-1.05,1.905,-0.0175,1.8657,1.07
1974-04,-5.29,-0.7,0.85,2.87,2.09,0.75,2.11,-0.4707,2.3712,2.2928,2.4687
1974-05,-4.68,-3.07,-2.02,4.95,-0.42,0.75,-0.39,-4.1023,-0.4303,2.2588,0.3093
1974-06,-2.83,0.0,0.77,0.57,2.94,0.6,2.31,0.2453,1.5566,1.5503,2.0198
1974-07,-8.05,1.92,5.16,-3.25,4.6,0.7,3.11,3.5542,4.5057,2.5255,5.6961
1974-08,-9.35,0.26,2.64,-0.28,2.59,0.6,3.0,2.1729,3.2553,2.8417,4.9746
1974-09,-11.77,1.48,5.58,-4.44,5.91,0.81,4.24,1.9885,4.932,-2.2989,3.5397
1974-10,16.1,-6.82,-9.87,-0.21,-2.86,0.51,-0.54,-6.0389,-1.487,8.8612,0.9698
1974-11,-4.51,-1.48,-0.2,-3.37,2.92,0.54,2.13,-0.8823,2.7406,1.7617,1.3955
1974-12,-3.45,-4.35,0.11,-0.68,3.25,0.7,2.92,-3.9173,2.1538,0.422,1.9734
1975-01,13.66,12.91,8.28,-0.78,-0.9,0.58,-13.82,12.5918,-0.7205,-11.6191,-5.4952
1975-02,5.56,-0.65,-4.44,1.16,-2.1,0.43,-0.61,-1.4173,-1.7234,3.6003,0.574
1975-03,2.66,4.0,2.38,1.26,-1.33,0.41,-2.04,3.1928,-0.5984,-1.767,-1.8094
1975-04,4.23,-0.71,-1.14,1.41,-1.34,0.44,1.38,-1.3333,-0.0936,3.3983,2.2158
1975-05,5.19,2.89,-4.1,-0.98,-0.6,0.44,-0.58,3.2863,-0.1525,-0.2663,0.0244
1975-06,4.83,1.43,1.38,-2.66,1.06,0.41,0.04,1.6413,0.3354,-1.6419,-0.6996
1975-07,-6.59,3.44,1.69,0.46,1.22,0.48,0.42,2.9593,1.4598,-1.4083,1.7789
