Year,portfolio_1,portfolio_2,portfolio_3,portfolio_4,portfolio_5
1994,0.029146561443623556,0.09219187380318919,0.18004483787364844,0.2678889918513735,0.3557548812054769
1995,0.300937187614155,0.43755224502364165,0.5741662889774137,0.7107794638020299,0.8473916134707278
1996,0.22208775450790294,0.32844950258925415,0.434811631329695,0.5411719541225136,0.647537637996982
1997,0.3439791375040924,0.44852851379986564,0.5650907893472267,0.6816522525223119,0.798215474671502
1998,0.010646347349441214,0.17137910110564505,0.33213460066888956,0.4928875945083801,0.6536447342604819
1999,-0.010062393657929498,0.15936665348331813,0.3588548060351783,0.5583406842187119,0.7578387300073955
2000,0.16626966648849598,0.3365400626958364,0.5329568871123909,0.7293748666515698,0.9257937517175635
2001,0.29017773335002844,0.32702119534745056,0.4979944734790339,0.6689709754713945,0.839945060802703
2002,0.1837854348765012,0.18363596602788076,0.1835077968414261,0.23642837330219516,0.3247336124636557
2003,0.42347457650873993,0.4811421523738123,0.6549780024714744,0.828821560250037,1.0026593467082265
2004,0.28254025476543176,0.3111171659947036,0.4155439637468036,0.5199707614930369,0.6243975592392748
2005,0.07285010737872148,0.17327190000715276,0.273696487939663,0.37412440158102495,0.47455514580833996
2006,0.20487950479915962,0.2670384572035847,0.37286683102434504,0.4786814023155962,0.5844984105602159
2007,0.10559324519735885,0.1230598963305855,0.2527735426561353,0.38248159020338623,0.5121933553223217
2008,36.03906579535441,36.03906579535441,36.03906579535441,36.03906579535441,36.03906579535441
2009,0.35033306735134245,0.40709168607282276,0.5767127765747907,0.7463347138940803,0.9159522264998473
2010,0.19816018086565462,0.3013234831014789,0.4045080992771956,0.5076846476973943,0.61085677797776
2011,0.06856599994547458,0.07251699188467639,0.1479081794957919,0.22329337123049087,0.2986803204253816
2012,0.1486666800796625,0.24360769056940904,0.3385526710030669,0.4335011592960176,0.5284476699790958
2013,0.3205866755704119,0.40123517239778445,0.5138150432482004,0.6263943457345355,0.7389722488097203
2014,0.1529592765877608,0.1971720262902774,0.27109315189861877,0.34501019995778337,0.4189246003354865
2015,0.05497724004318229,0.10245455790674576,0.1873358177848275,0.272220256942297,0.3571051771536669
2016,0.19266576196362228,0.28043385275424004,0.3682109407154572,0.45598984707165857,0.543768489427602
2017,0.18082821555782622,0.24313857121058963,0.3372429367384498,0.43134648809587883,0.5254519342256625
2018,-0.004483330266532829,-0.0044833302665325085,0.06099936873677554,0.14664385264119972,0.23229347322714877
2019,0.27124894631050017,0.3714072553422287,0.47156145208137284,0.5717160489765399,0.671871214681346
2020,0.1775235795665526,0.2074242582892839,0.3377799255806797,0.4681355926286169,0.5984871862751171
2021,0.2708465266343426,0.38287252207528666,0.4949052113449716,0.6069392905997616,0.7189728406600446
2022,0.058434150367724376,0.058412844815841046,0.05839300426116676,0.12502684610875203,0.21507932742576774
2023,0.14297636507578498,0.23236619810103604,0.35869372404356464,0.4850177783909077,0.6113425376291137
