Date,portfolio_1,portfolio_2,portfolio_3,portfolio_4,portfolio_5
1994-01-05,0.22455586196937563,0.229485345411611,0.2546086983824844,0.28111147050534885,0.30158393989669263
1994-01-06,0.025361449929563684,0.05288764242500046,0.0937098533866998,0.14870383858982958,0.20319128028159322
1994-01-07,0.20746697286488508,0.23651770780012082,0.29565324854854136,0.3559979052629362,0.4194386588823708
1994-01-10,0.4756490722250094,0.4804019873432137,0.48398070768436086,0.4937021481488048,0.4996167370578338
1994-01-11,-0.10332673138190855,-0.08911996821897768,-0.06459976671815003,-0.03802965916008795,0.00012927768729845222
1994-01-12,0.03141759772684511,0.06739853851013498,0.12433098846705767,0.18211968247501747,0.25085405058789584
1994-01-13,0.16453476504125084,0.14711300075851985,0.13034336302483937,0.1175714794320301,0.102478623416495
1994-01-14,0.28942481215714766,0.3488302711391775,0.43075995964043085,0.512453372439949,0.605273909013746
1994-01-17,-0.052683963160937444,-0.0243302768050717,0.009966792487248926,0.053536035761842245,0.094348077942045
1994-01-18,-0.006202270720656581,0.015652177999058898,0.04832051692566895,0.0827123825448361,0.11467638797807089
1994-01-19,0.20560421244889956,0.22931591990004258,0.2549828404369166,0.2659498706330818,0.27921565447832514
1994-01-20,0.34589066296830706,0.3329228688174474,0.31011889115671887,0.29339884609903155,0.27053645712379937
1994-01-21,0.22159474776973404,0.26685913569669373,0.33273877814727015,0.3961729609995955,0.45104628856071516
1994-01-24,-0.31404127813854205,-0.2748799903629098,-0.2293030411170869,-0.18766219489893785,-0.14567081102591373
1994-01-25,-0.01972278943668711,0.0072499999191395674,0.04209991464351687,0.07668221806127362,0.10374469187946307
1994-01-26,0.34909560431711906,0.3441797891784661,0.33456689792738004,0.3091030008881048,0.28129079090560727
1994-01-27,0.39840670427876285,0.4122054155706192,0.4360594588664142,0.4417979567822051,0.43998672216368684
1994-01-28,0.30050412765523393,0.2936815225902646,0.2801394904819608,0.2668164121437509,0.2575985539611542
