Year_Month,R1-RF,R2-RF,R3-RF,R4-RF,R5-RF,CMA,EG,HML,IA,ME,MOM,Mkt-RF,RMW,ROE,SMB
1994-01,3.2457077397477,3.669498045795322,4.294715525668508,4.907347571993687,5.515110840329002,1.43,0.9311,1.15,1.1272,0.159,0.0,2.87,-1.66,-0.922,-0.06
1994-02,-0.19473389998991938,0.4161123007450076,1.2868553356903725,2.154125215781643,3.064311428601995,-1.0,1.598,-1.54,-0.4691,2.6526,-0.3,-2.55,2.14,2.6619,2.67
1994-03,-4.115235286003445,-3.772461279206293,-3.3539759867602568,-2.9669326703789376,-2.6392988661834114,1.28,1.3513,1.6,0.9681,-0.9378,-1.27,-4.78,0.69,0.2218,-1.04
1994-04,0.7673050340114709,1.184517624079732,1.7758929706589135,2.3430337665731806,2.8946094574758976,1.11,1.5131,1.66,1.2741,-0.819,0.39,0.68,1.07,1.529,-1.01
1994-05,0.28733555997845134,0.6588459286470552,1.1343588586674271,1.5606153747163112,1.9398981100871784,0.68,1.4199,0.67,0.512,-1.9848,-2.19,0.58,0.6,-0.7588,-2.56
1994-06,-1.1835051017028095,-0.9311700481324912,-0.6403798421168903,-0.3951489730343768,-0.1824850458460934,1.47,1.3288,1.67,0.9202,-0.8441,-0.87,-3.03,1.21,0.1932,-0.5
1994-07,2.0029112147284334,2.445324553809849,3.065375690985741,3.616918843933373,4.157911938440164,0.14,-0.0945,0.58,0.4259,-1.4321,0.18,2.82,-0.65,0.7148,-1.85
1994-08,3.8192161376611446,4.242111482139336,4.860252312819283,5.566093585996915,6.337705293283572,-1.47,2.6805,-2.51,-0.6915,2.0904,1.55,4.01,0.95,2.061,1.37
1994-09,-0.6991693922211181,-0.4316224924419261,-0.04275473309504807,0.32882722518910257,0.7011879805382241,0.93,0.9738,-1.89,0.5879,2.2081,1.31,-2.31,0.52,1.0911,2.8
1994-10,0.7969266213975005,1.7952011423780583,3.22769498693454,4.729874158165861,6.297862818166003,-0.68,2.448,-1.62,0.1613,-1.8201,1.49,1.34,0.23,0.3556,-2.3
1994-11,-2.9620910979586266,-2.778449942444002,-2.5292648994703812,-2.3336701434982086,-2.16211116845005,-0.5,1.4457,-0.7,-1.0042,0.5354,-0.18,-4.04,0.42,1.3703,0.07
1994-12,0.9720248729452057,1.5890508363809412,2.380355434242461,3.116446471480701,3.8313492834405953,0.38,3.7209,-0.13,1.2933,1.1739,3.48,0.86,0.37,3.9844,0.0
1995-01,1.6978560797099345,2.24952468881998,2.711545023376936,3.137398408396484,3.535332774769249,-0.75,1.1177,2.57,-0.0027,-2.4308,-1.81,1.8,0.17,-0.063,-3.06
1995-02,2.295921466848761,2.9257113089626645,3.5007427700754383,4.064971137325268,4.632593541034313,-0.33,1.2099,1.08,-0.8485,-0.6967,-0.39,3.63,0.59,0.5097,-0.54
1995-03,1.1752237444292595,1.926609043948829,2.5104836659398826,3.104258313060553,3.704582373050374,0.22,0.7805,-2.15,0.1685,-1.2145,0.43,2.19,-0.17,1.2654,-0.51
1995-04,1.5770671215212544,2.0453283154328,2.3763830676728452,2.6778792095965636,2.9806703947668116,0.9,3.4497,1.71,0.0068,-0.0076,1.79,2.11,0.41,0.142,-0.22
1995-05,1.8523129475891258,2.729957744601326,3.537461079724931,4.381844183676471,5.223173276288902,0.04,1.4624,2.29,0.8586,-2.2038,-0.42,2.9,0.39,-1.0066,-2.19
1995-06,2.4848175313115712,3.186309798739832,3.6557822320084794,4.171154999965425,4.725273337364337,-2.44,1.8099,-2.54,-1.7465,3.219,2.93,2.72,-0.33,2.1275,3.06
1995-07,2.4340719359653598,2.9826466193308256,3.5754543342958858,4.1827719908200836,4.751341176587171,-1.65,0.3138,-1.62,-2.5443,1.7624,2.56,3.72,0.3,0.9451,2.09
1995-08,1.7963342258112618,2.604130294965527,3.372675293984388,4.174348996694059,4.9841493309129055,1.62,1.2954,2.79,2.1996,2.3538,0.16,0.55,-1.24,0.1383,1.75
1995-09,1.8353820345554188,2.3581513427355563,2.8195603485388934,3.275457407896029,3.687115167916707,0.36,3.123,-0.04,1.9328,-0.7905,2.9,3.35,1.03,1.3917,-1.88
1995-10,-0.39336558337497896,0.24876269414772323,0.7091659692834689,1.1329310431195043,1.4859171891332603,-0.05,4.4585,-0.5,0.7822,-5.0247,4.16,-1.52,1.91,2.7798,-4.04
1995-11,2.6641088804826722,3.332266128619297,3.9509599417030676,4.587272385850725,5.203977917439693,1.12,-1.2715,0.51,1.1261,-0.7575,-0.68,3.96,-0.62,-0.2398,-1.07
1995-12,2.500001350623239,3.202007443305778,3.7975021567235547,4.361313068157514,4.869721854009569,3.1,0.4029,0.22,3.1163,0.6315,2.52,1.03,-1.37,0.2794,0.72
1996-01,1.3549189410363396,1.9329974855474912,2.235232384305005,2.4203633859689124,2.6039666428822463,2.31,1.4014,0.38,2.451,-2.6865,0.54,2.26,0.18,-1.5087,-2.56
1996-02,1.183817701914426,1.6968069629644158,2.1065892601552796,2.5020668420298278,2.877309072074753,-1.9,0.7364,-1.08,-0.9876,2.7354,0.59,1.33,0.24,3.1394,1.77
1996-03,1.2447972059583603,1.9196422489514933,2.6824742880305465,3.481252863640629,4.406996607271598,-0.95,-1.3301,0.35,-0.6897,1.873,-1.84,0.73,1.42,0.2756,1.61
1996-04,0.9858658981427952,1.737279392476892,2.647860767134807,3.649379271198743,4.695171758710564,-2.11,1.1731,-4.02,-1.8073,5.1852,-0.88,2.06,-0.14,2.8673,4.71
